 Acauã  , 228 
 Agricolândia  , 208 
 Água Branca  , 606 
 Alagoinha do Piauí  , 165 
 Alegrete do Piauí  , 151 
 Alto Longá  , 361 
 Altos  ," 1,822 "
 Alvorada do Gurguéia  , 204 
 Amarante  , 594 
 Angical do Piauí  , 627 
 Anísio de Abreu  , 334 
 Antônio Almeida  , 122 
 Aroazes  , 248 
 Aroeiras do Itaim  , 68 
 Arraial  , 128 
 Assunção do Piauí  , 401 
 Avelino Lopes  , 426 
 Baixa Grande do Ribeiro  , 620 
 Barra D'Alcântara  , 165 
 Barras  ," 2,095 "
 Barreiras do Piauí  , 117 
 Barro Duro  , 219 
 Batalha  , 994 
 Bela Vista do Piauí  , 149 
 Belém do Piauí  , 149 
 Beneditinos  , 488 
 Bertolínia  , 266 
 Betânia do Piauí  , 279 
 Boa Hora  , 411 
 Bocaina  , 96 
 Bom Jesus  ," 1,687 "
 Bom Princípio do Piauí  , 200 
 Bonfim do Piauí  , 127 
 Boqueirão do Piauí  , 178 
 Brasileira  , 286 
 Brejo do Piauí  , 150 
 Buriti dos Lopes  , 870 
 Buriti dos Montes  , 268 
 Cabeceiras do Piauí  , 434 
 Cajazeiras do Piauí  , 121 
 Cajueiro da Praia  , 258 
 Caldeirão Grande do Piauí  , 126 
 Campinas do Piauí  , 109 
 Campo Alegre do Fidalgo  , 160 
 Campo Grande do Piauí  , 149 
 Campo Largo do Piauí  , 287 
 Campo Maior  ," 1,995 "
 Canavieira  , 119 
 Canto do Buriti  , 575 
 Capitão de Campos  , 481 
 Capitão Gervásio Oliveira  , 172 
 Caracol  , 310 
 Caraúbas do Piauí  , 156 
 Caridade do Piauí  , 184 
 Castelo do Piauí  , 764 
 Caxingó  , 230 
 Cocal  ," 1,000 "
 Cocal de Telha  , 221 
 Cocal dos Alves  , 152 
 Coivaras  , 78 
 Colônia do Gurguéia  , 327 
 Colônia do Piauí  , 200 
 Conceição do Canindé  , 151 
 Coronel José Dias  , 143 
 Corrente  ," 1,498 "
 Cristalândia do Piauí  , 174 
 Cristino Castro  , 375 
 Curimatá  , 463 
 Currais  , 127 
 Curral Novo do Piauí  , 201 
 Curralinhos  , 211 
 Demerval Lobão  , 691 
 Dirceu Arcoverde  , 145 
 Dom Expedito Lopes  , 258 
 Dom Inocêncio  , 304 
 Domingos Mourão  , 176 
 Elesbão Veloso  , 362 
 Eliseu Martins  , 135 
 Esperantina  ," 1,612 "
 Fartura do Piauí  , 136 
 Flores do Piauí  , 128 
 Floresta do Piauí  , 99 
 Floriano  ," 2,849 "
 Francinópolis  , 145 
 Francisco Ayres  , 144 
 Francisco Macedo  , 83 
 Francisco Santos  , 233 
 Fronteiras  , 345 
 Geminiano  , 218 
 Gilbués  , 298 
 Guadalupe  , 520 
 Guaribas  , 194 
 Hugo Napoleão  , 114 
 Ilha Grande  , 390 
 Inhuma  , 492 
 Ipiranga do Piauí  , 338 
 Isaías Coelho  , 323 
 Itainópolis  , 331 
 Itaueira  , 304 
 Jacobina do Piauí  , 160 
 Jaicós  , 629 
 Jardim do Mulato  , 139 
 Jatobá do Piauí  , 312 
 Jerumenha  , 83 
 João Costa  , 127 
 Joaquim Pires  , 477 
 Joca Marques  , 248 
 José de Freitas  ," 1,725 "
 Juazeiro do Piauí  , 250 
 Júlio Borges  , 143 
 Jurema  , 153 
 Lagoa Alegre  , 481 
 Lagoa de São Francisco  , 219 
 Lagoa do Barro do Piauí  , 161 
 Lagoa do Piauí  , 87 
 Lagoa do Sítio  , 166 
 Lagoinha do Piauí  , 89 
 Landri Sales  , 174 
 Luís Correia  , 931 
 Luzilândia  ," 1,021 "
 Madeiro  , 389 
 Manoel Emídio  , 161 
 Marcolândia  , 304 
 Marcos Parente  , 176 
 Massapê do Piauí  , 207 
 Matias Olímpio  , 442 
 Miguel Alves  ," 1,211 "
 Miguel Leão  , 52 
 Milton Brandão  , 205 
 Monsenhor Gil  , 367 
 Monsenhor Hipólito  , 355 
 Monte Alegre do Piauí  , 478 
 Morro Cabeça no Tempo  , 142 
 Morro do Chapéu do Piauí  , 230 
 Murici dos Portelas  , 299 
 Nazaré do Piauí  , 240 
 Nazária  , 310 
 Nossa Senhora de Nazaré  , 188 
 Nossa Senhora dos Remédios  , 414 
 Nova Santa Rita  , 161 
 Novo Oriente do Piauí  , 147 
 Novo Santo Antônio  , 118 
 Oeiras  ," 1,788 "
 Olho D'Água do Piauí  , 116 
 Padre Marcos  , 210 
 Paes Landim  , 175 
 Pajeú do Piauí  , 106 
 Palmeira do Piauí  , 129 
 Palmeirais  , 498 
 Paquetá  , 99 
 Parnaguá  , 298 
 Parnaíba  ," 5,832 "
 Passagem Franca do Piauí  , 163 
 Patos do Piauí  , 202 
 Pau D'Arco do Piauí  , 188 
 Paulistana  , 980 
 Pavussu  , 92 
 Pedro II  ," 1,821 "
 Pedro Laurentino  , 105 
 Picos  ," 3,188 "
 Pimenteiras  , 387 
 Pio IX  , 643 
 Piracuruca  ," 1,203 "
 Piripiri  ," 2,554 "
 Porto  , 594 
 Porto Alegre do Piauí  , 78 
 Prata do Piauí  , 160 
 Queimada Nova  , 370 
 Redenção do Gurguéia  , 301 
 Regeneração  , 723 
 Riacho Frio  , 163 
 Ribeira do Piauí  , 176 
 Ribeiro Gonçalves  , 255 
 Rio Grande do Piauí  , 168 
 Santa Cruz do Piauí  , 329 
 Santa Cruz dos Milagres  , 152 
 Santa Filomena  , 254 
 Santa Luz  , 167 
 Santa Rosa do Piauí  , 210 
 Santana do Piauí  , 145 
 Santo Antônio de Lisboa  , 166 
 Santo Antônio dos Milagres  , 79 
 Santo Inácio do Piauí  , 183 
 São Braz do Piauí  , 105 
 São Félix do Piauí  , 123 
 São Francisco de Assis do Piauí  , 182 
 São Francisco do Piauí  , 182 
 São Gonçalo do Gurguéia  , 99 
 São Gonçalo do Piauí  , 134 
 São João da Canabrava  , 144 
 São João da Fronteira  , 197 
 São João da Serra  , 228 
 São João da Varjota  , 165 
 São João do Arraial  , 453 
 São João do Piauí  ," 1,062 "
 São José do Divino  , 232 
 São José do Peixe  , 125 
 São José do Piauí  , 265 
 São Julião  , 176 
 São Lourenço do Piauí  , 166 
 São Luis do Piauí  , 107 
 São Miguel da Baixa Grande  , 70 
 São Miguel do Fidalgo  , 82 
 São Miguel do Tapuio  , 703 
 São Pedro do Piauí  , 578 
 São Raimundo Nonato  ," 1,771 "
 Sebastião Barros  , 160 
 Sebastião Leal  , 102 
 Sigefredo Pacheco  , 316 
 Simões  , 493 
 Simplício Mendes  , 503 
 Socorro do Piauí  , 154 
 Sussuapara  , 219 
 Tamboril do Piauí  , 137 
 Tanque do Piauí  , 104 
 Teresina  ," 34,578 "
 União  ," 1,939 "
 Uruçuí  ," 1,158 "
 Valença do Piauí  ," 1,172 "
 Várzea Branca  , 154 
 Várzea Grande  , 129 
 Vera Mendes  , 111 
 Vila Nova do Piauí  , 70 
 Wall Ferraz  , 134 
